Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2020-06-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-06,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-13,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-20,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-27,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-07-31,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-06,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-13,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-20,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-27,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-08-31,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-09-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
